Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,44.619999,44.619999,44.619999,44.619999,43.909878,0
2021-05-11,44.439999,44.439999,44.439999,44.439999,43.732742,0
2021-05-12,43.389999,43.389999,43.389999,43.389999,42.699455,0
2021-05-13,42.200001,42.200001,42.200001,42.200001,41.528393,0
2021-05-14,43.130001,43.130001,43.130001,43.130001,42.443592,0
2021-05-17,41.980000,41.980000,41.980000,41.980000,41.311893,0
2021-05-18,40.950001,40.950001,40.950001,40.950001,40.298290,0
2021-05-19,39.970001,39.970001,39.970001,39.970001,39.333885,0
2021-05-20,40.470001,40.470001,40.470001,40.470001,39.825928,0
2021-05-21,39.790001,39.790001,39.790001,39.790001,39.156750,0
2021-05-24,39.970001,39.970001,39.970001,39.970001,39.333885,0
2021-05-25,39.490002,39.490002,39.490002,39.490002,38.861523,0
2021-05-26,39.480000,39.480000,39.480000,39.480000,38.851681,0
2021-05-27,39.529999,39.529999,39.529999,39.529999,38.900883,0
2021-05-28,38.980000,38.980000,38.980000,38.980000,38.359638,0
2021-06-01,39.360001,39.360001,39.360001,39.360001,38.733593,0
2021-06-02,39.599998,39.599998,39.599998,39.599998,38.969769,0
2021-06-03,39.560001,39.560001,39.560001,39.560001,38.930408,0
2021-06-04,39.560001,39.560001,39.560001,39.560001,38.930408,0
2021-06-07,39.529999,39.529999,39.529999,39.529999,38.900883,0
2021-06-08,39.349998,39.349998,39.349998,39.349998,38.723751,0
2021-06-09,39.770000,39.770000,39.770000,39.770000,39.137070,0
2021-06-10,39.580002,39.580002,39.580002,39.580002,38.950092,0
2021-06-11,39.970001,39.970001,39.970001,39.970001,39.333885,0
2021-06-14,40.099998,40.099998,40.099998,40.099998,39.461811,0
2021-06-15,40.580002,40.580002,40.580002,40.580002,39.934177,0
2021-06-16,40.630001,40.630001,40.630001,40.630001,39.983379,0
2021-06-17,39.820000,39.820000,39.820000,39.820000,39.186272,0
2021-06-18,39.459999,39.459999,39.459999,39.459999,38.831997,0
